x,y,s1,s2,s3
0,0,-38.5,-46.5,-44.0
0,1,-46.5,-50.0,-41.5
0,2,-45.0,-41.0,-34.5
0,3,-45.5,-51.0,-43.0
0,4,-46.0,-50.0,-36.5
0,5,-47.2,-56.4,-35.2
1,5,-37.0,-52.0,-31.0
1,4,-36.0,-56.0,-37.5
1,3,-40.0,-50.5,-50.5
1,2,-43.0,-55.5,-40.5
1,1,-42.0,-49.0,-41.0
1,0,-40.2,-48.8,-46.4
2,0,-43.0,-46.0,-47.5
2,1,-41.0,-48.5,-40.5
2,2,-42.5,-51.0,-45.5
2,3,-41.0,-54.0,-33.5
2,4,-53.0,-60.0,-42.0
2,5,-41.0,-55.6,-29.6
3,5,-45.0,-55.5,-35.5
3,4,-40.5,-57.0,-47.0
3,3,-35.5,-51.0,-39.0
3,2,-44.5,-56.5,-39.5
3,1,-36.0,-52.0,-39.0
3,0,-46.2,-46.2,-40.2
